group,value,b,end_time,stop,theta_peak,r_peak,gamma_peak,psi_peak,force_peak,torque_peak,final_theta,final_r,final_gamma,final_psi,near_zero
open_1,0.272,0,30,0,3.32371918303035,0.102296423857117,0.0107782253653659,266.140042242078,0,0.00104841347902115,1.5017912666142,-0.0200433338608612,-0.00532437984967789,-266.140042242078,0
open_2,1,0,30,0,3.24148404169077,0.0269177480414636,0.011072508468505,261.634145747797,0,0.00104802298148834,1.50750173290798,0.000112760903582683,-0.00121261761499886,-261.634145747797,0
open_3,2.3,0,30,0,3.23459069366975,0.0122962520500472,0.0121003078533495,261.681931033781,0,0.00110005501239039,1.87460760584644,-0.000314250322234174,-0.000593407005344891,-261.681931033781,0
open_4,0.272,6.5,30,0,2.6419524839345,0.0384592022950052,0.00894286877622044,216.316434668482,0,0.000808197171091808,1.54600527646402,-0.0384592022950052,-0.00596221988790225,-216.316434668482,0
theta0,0.01,0,4.14983155075155,2,5.89980259148642,0.500000000000042,0.0596437849704777,17.0398072675011,0.224028738941114,0.00066336856781909,5.89980259148642,-0.500000000000042,-0.033943545167068,7.53379698028893,0
theta0,0.1,0,1.44085660073851,2,4.46450893487407,0.500000000000014,0.0786103267736363,6.37067505543366,0.445978355243393,0.000505118780357103,-4.46450893487407,0.500000000000014,-0.0786103267736363,6.37067505543366,0
theta0,1,0,0.679250494511054,2,2.5996130198167,0.500000000000016,0.296164345178618,4.66311962066986,2.10692321588818,0.00378495167285637,1.57402055689751,0.500000000000016,0.296164345178618,-4.66311962066986,0
theta0,0.01,6.5,4.14983155075128,2,5.89980259148493,0.500000000000042,0.0596437849704493,17.0398072675026,4.96721399706499,0.000663368567817899,5.89980259148493,-0.500000000000042,-0.0339435451671051,7.53379698029547,0
theta0,0.1,6.5,1.4408566007385,2,4.46450893487396,0.500000000000014,0.0786103267736374,6.37067505543338,7.04459731452592,0.000505118780357141,-4.46450893487396,0.500000000000014,-0.0786103267736374,6.37067505543338,0
theta0,1,6.5,0.679250494511043,2,2.59961301981671,0.5,0.296164345178618,4.66311962066984,16.8714217774901,0.00378495167285662,1.57402055689762,0.5,0.296164345178618,-4.66311962066984,0
r0,0.001,0,30,0,0.0751972070553225,0.00916461029254474,0.000281892025190552,1.25550221398019,0.00443232957049195,3.34942644180297e-06,3.32748734090048e-09,-3.11443540891523e-09,4.03634285509074e-10,-9.56937950858055e-05,1
r0,0.005,0,30,0,0.378880319780325,0.0452345566823028,0.00637312743257298,5.44264537285488,0.0221616326484752,7.61885205832273e-05,6.43285270749832e-07,-1.51243834780549e-07,2.66668901821043e-08,-0.00237760750694287,1
r0,0.01,0,5.40368432625776,2,6.44912002392961,0.500000000000034,0.0506904238494709,9.16645490937773,0.185581150873527,0.00142966556056542,-6.44912002392961,0.500000000000034,0.00756452119217979,6.98886561148708,0
r0,0.001,6.5,30,0,0.0751972070553273,0.00916461029254545,0.00028189202519046,1.2555022139804,0.0492446088519574,3.34942644180187e-06,3.32748742506549e-09,-3.11443540245904e-09,4.03634285509074e-10,-9.56937944563832e-05,1
r0,0.005,6.5,30,0,0.37888031978035,0.0452345566823059,0.00637312743257095,5.44264537285539,0.291790194314536,7.61885205832019e-05,6.43285271222934e-07,-1.51243834786702e-07,2.66668901821044e-08,-0.00237760750493872,1
r0,0.01,6.5,5.40368432625684,2,6.44912002392297,0.5,0.0506904238494494,9.16645490937836,4.2317449663662,0.00142966556055667,-6.44912002392297,0.5,0.00756452119173192,6.98886561146329,0
gamma0,0.1,0,30,0,0,0,0.1,0,0,0.00137359249734127,0,0,4.979737807009e-10,0,1
gamma0,1,0,30,0,0,0,1,0,0,0.0137359249734127,0,0,4.97194133346421e-09,0,1
gamma0,5,0,30,0,0,0,5,0,0,0.0686796248670637,0,0,2.48541794385084e-08,0,1
gamma0,0.1,6.5,30,0,0,0,0.1,0,0,0.00137359249734127,0,0,4.979737807009e-10,0,1
gamma0,1,6.5,30,0,0,0,1,0,0,0.0137359249734127,0,0,4.97194133346421e-09,0,1
gamma0,5,6.5,30,0,0,0,5,0,0,0.0686796248670637,0,0,2.48541794385084e-08,0,1
psi0,1,0,30,0,0.0244479267914724,0.00309836981605508,3.61968394253003e-05,1.00011098581363,0.000841631887143781,4.2317025553879e-07,2.9016706559322e-09,-3.00800925008229e-10,6.00730065712101e-11,2.99441024556529e-06,1
psi0,5,0,30,0,0.120829343909791,0.0152649509546981,0.000874784103165443,5.00055492906361,0.00397515252397954,1.02368471564387e-05,1.74284788118468e-07,-1.33306008501018e-08,2.97204593375599e-09,0.000348030299936405,1
psi0,10,0,30,0,0.235228511858193,0.0294645041671808,0.00320405991933171,10.0011098580988,0.00669743526087735,3.75895381782344e-05,2.08976166893268e-06,-2.08960709265952e-07,4.36239008023348e-08,0.00239471989332425,1
psi0,1,6.5,30,0,0.0244479267914768,0.00309836981605562,3.61968394252811e-05,1.00011098581363,0.00948454272001977,4.23170255538562e-07,2.90167065795532e-09,-3.00800925387937e-10,6.00730065712101e-11,2.99441024145405e-06,1
psi0,5,6.5,30,0,0.120829343909809,0.0152649509547003,0.00087478410316505,5.00055492906361,0.0474139918723281,1.0236847156434e-05,1.7428478839446e-07,-1.33306008283641e-08,2.972045933756e-09,0.00034803030202034,1
psi0,10,6.5,30,0,0.235228511858238,0.0294645041671863,0.00320405991932955,10.0011098580988,0.0947734805085496,3.75895381782081e-05,2.08976166925741e-06,-2.08960709261804e-07,4.36239008023349e-08,0.00239471989500097,1
theta_dot0,0.01,0,30,0,0.0142572777838809,0.00173840057021207,1.02890838620067e-05,0.232422888602435,0.000795255957034893,1.22230255277706e-07,1.57585143855138e-09,-2.29210918923406e-10,1.53128981535325e-11,-7.24722449000613e-07,1
theta_dot0,0.1,0,30,0,0.142758559818133,0.0173505508796692,0.00101302005937876,2.25297102082357,0.00795255957034893,1.20458468272113e-05,-1.44565778829308e-08,-1.75533933353096e-08,1.5666656390962e-09,-0.000696955894911606,1
theta_dot0,1,0,3.24565247905233,2,5.48641108822321,0.5,0.0640472642393476,14.4105460993946,0.243052116258285,0.000479983245347739,5.48641108822321,-0.5,-0.0552798978657613,6.17850055804714,0
theta_dot0,0.01,6.5,30,0,0.0142572777838824,0.00173840057021228,1.02890838620016e-05,0.232422888602493,0.0100655490440349,1.22230255277645e-07,1.57585144525477e-09,-2.29210918749201e-10,1.53128981535325e-11,-7.24722411104282e-07,1
theta_dot0,0.1,6.5,30,0,0.142758559818147,0.017350550879671,0.00101302005937831,2.25297102082393,0.100660245685632,1.20458468272059e-05,-1.44565778518159e-08,-1.75533933382811e-08,1.5666656390962e-09,-0.000696955894872178,1
theta_dot0,1,6.5,3.24565247905224,2,5.4864110882229,0.500000000000024,0.0640472642394111,14.410546099396,5.72570228053587,0.00047998324534791,5.4864110882229,-0.500000000000024,-0.0552798978658558,6.17850055805053,0
r_dot0,0.001,0,30,0,0.0176068037159894,0.00215059122931728,1.56543758628411e-05,0.301764219979348,0.00068584371575472,1.85838966799003e-07,1.73921014487564e-09,-2.6566687598112e-10,2.29414687583659e-11,-1.25421946783801e-06,1
r_dot0,0.01,0,30,0,0.176308409571774,0.0214274561620563,0.00152631219122935,2.88423383551339,0.0068584371575472,1.81461560975426e-05,-3.25094408981753e-08,-2.7372724923747e-08,2.14480570077676e-09,-0.00113405504605922,1
r_dot0,0.05,0,4.75429565712098,2,3.88655107828922,0.500000000000091,0.0328466163741074,10.389502489994,0.585892639192234,0.000337761319820368,-3.88655107828922,0.500000000000091,-0.0328466163741074,-6.11226357736159,0
r_dot0,0.001,6.5,30,0,0.0176068037159916,0.00215059122931756,1.56543758628332e-05,0.301764219979419,0.0111610479009693,1.85838966798909e-07,1.7392101831712e-09,-2.6566687265556e-10,2.29414687583659e-11,-1.25421916747162e-06,1
r_dot0,0.01,6.5,30,0,0.176308409571795,0.0214274561620591,0.00152631219122853,2.88423383551398,0.111622361644524,1.81461560975326e-05,-3.2509440810603e-08,-2.73727249205474e-08,2.14480570077676e-09,-0.00113405504553152,1
r_dot0,0.05,6.5,4.75429565712055,2,3.88655107828702,0.500000000000091,0.0328466163736783,10.3895024899951,10.9903026614385,0.000337761319823924,-3.88655107828702,0.500000000000091,-0.0328466163736783,-6.11226357737401,0
gamma_dot0,0.1,0,30,0,0,0,0.0157307193548506,0,0,0.000242453209044049,0,0,1.81912791350541e-10,0,1
gamma_dot0,1,0,30,0,0,0,0.157307119669182,0,0,0.00242453129475116,0,0,1.8207712958773e-09,0,1
gamma_dot0,5,0,30,0,0,0,0.786526643453721,0,0,0.0121225600277715,0,0,9.10566653650194e-09,0,1
gamma_dot0,0.1,6.5,30,0,0,0,0.0157307193548506,0,0,0.000242453209044049,0,0,1.81912791350541e-10,0,1
gamma_dot0,1,6.5,30,0,0,0,0.157307119669182,0,0,0.00242453129475116,0,0,1.8207712958773e-09,0,1
gamma_dot0,5,6.5,30,0,0,0,0.786526643453721,0,0,0.0121225600277715,0,0,9.10566653650194e-09,0,1
psi_dot0,0.01,0,30,0,0.24385409651912,0.0307846141634764,0.00347174531523531,10.3168321174888,0.00688994763132877,4.07442993027019e-05,0.00127156842928867,0.000119950647187818,1.92808179561223e-08,10.3168321174888,0
psi_dot0,0.1,0,3.77590160594602,2,4.4292241785931,0.500000000000037,0.0624349608599322,19.9284342599068,0.442193473311355,0.000374365476040393,4.4292241785931,-0.500000000000037,-0.0624349608599322,15.6211195098737,0
psi_dot0,1,0,1.44115873002673,2,3.87827410578396,0.500000000000017,0.0686635510467721,3.42352547002792,0.597983172101971,0.000479655641634344,-3.87827410578396,0.500000000000017,-0.0686635510467721,3.42352547002792,0
psi_dot0,0.01,6.5,30,0,0.243854096519161,0.0307846141634813,0.00347174531523362,10.316832117484,0.101738719818963,4.07442993026812e-05,0.00127156842928737,0.000119950647187854,1.92808179560344e-08,10.316832117484,0
psi_dot0,0.1,6.5,3.7759016059459,2,4.42922417859248,0.500000000000037,0.0624349608599238,19.9284342599086,9.0793055275537,0.000374365476040315,4.42922417859248,-0.500000000000037,-0.0624349608599238,15.6211195098774,0
psi_dot0,1,6.5,1.44115873002672,2,3.87827410578388,0.500000000000016,0.0686635510467685,3.42352547002776,8.37456761913696,0.000479655641634272,-3.87827410578388,0.500000000000016,-0.0686635510467685,3.42352547002776,0
speed_offset,-0.2,0,30,0,0,0,18.2408479062522,0,0,0.215139938289348,0,0,-2.12846075623767e-07,0,1
speed_offset,0.1,0,30,0,0,0,9.33363725696251,0,0,0.111029828884899,0,0,8.65956220057167e-08,0,1
speed_offset,0.2,0,30,0,0,0,18.2408479062543,0,0,0.215139938289372,0,0,2.12846500025624e-07,0,1
speed_offset,-0.2,6.5,30,0,0,0,18.2408479062522,0,0,0.215139938289348,0,0,-2.12846075623767e-07,0,1
speed_offset,0.1,6.5,30,0,0,0,9.33363725696251,0,0,0.111029828884899,0,0,8.65956220057167e-08,0,1
speed_offset,0.2,6.5,30,0,0,0,18.2408479062543,0,0,0.215139938289372,0,0,2.12846500025624e-07,0,1
