type,time,x_c,x_c_dot,gamma,gamma_dot
real_0,0.0,0.0,,,
real_0,0.0035593509674072266,-7.28815895085777e-05,,,
real_0,0.0045623779296875,-9.287292877568909e-05,,,
real_0,0.006183147430419922,-0.0001246688873045576,,,
real_0,0.006444454193115234,-0.00012973647574543445,,,
real_0,0.006630659103393555,-0.00013333765536716058,,,
real_0,0.006807804107666016,-0.0001367559406706409,,,
real_0,0.0069768428802490234,-0.00014001082481962523,,,
real_0,0.00796818733215332,-0.0001589622484279296,,,
real_0,0.008226633071899414,-0.00016386442127602763,,,
real_0,0.008393526077270508,-0.00016702157032932874,,,
real_0,0.008555173873901367,-0.000170073165388529,,,
real_0,0.008711099624633789,-0.0001730108383390938,,,
real_0,0.0587773323059082,-0.0008188126970424259,,,
real_0,0.059053897857666016,-0.0008207451570597657,,,
real_0,0.05917763710021973,-0.0008216039929577201,,,
real_0,0.059294700622558594,-0.0008224132093987979,,,
real_0,0.05941200256347656,-0.0008232208700791332,,,
real_0,0.10429930686950684,-0.0008984325374801205,,,
real_0,0.10499405860900879,-0.0008959557222731895,,,
real_0,0.10558032989501953,-0.0008937798967622035,,,
real_0,0.10606241226196289,-0.000891931959654757,,,
real_0,0.10640549659729004,-0.0008905845282020097,,,
real_0,0.10726618766784668,-0.0008870860396974489,,,
real_0,0.1663074493408203,-0.0002472822933616836,,,
real_0,0.16760611534118652,-0.00022443347101863687,,,
real_0,0.16791701316833496,-0.00021890799550239315,,,
real_0,0.16814494132995605,-0.0002148434886727335,,,
real_0,0.169755220413208,-0.00018580015295888153,,,
real_0,0.17000913619995117,-0.0001811680089125467,,,
real_0,0.23372483253479004,0.0014283295763186654,,,
real_0,0.23447346687316895,0.0014524809561656804,,,
real_0,0.23502826690673828,0.0014704568400488727,,,
real_0,0.23644661903381348,0.0015167129943831625,,,
real_0,0.2367722988128662,0.0015273952490750808,,,
real_0,0.3000946044921875,0.0040325917534107525,,,
real_0,0.3026916980743408,0.004153333933837988,,,
real_0,0.30304765701293945,0.004169992199268946,,,
real_0,0.3048839569091797,0.004256346056831006,,,
real_0,0.30529165267944336,0.004275613357655361,,,
real_0,0.305544376373291,0.004287574153943985,,,
real_0,0.35672974586486816,0.006980966114744858,,,
real_0,0.3570683002471924,0.007000560245606913,,,
real_0,0.3581888675689697,0.007065579349076367,,,
real_0,0.35843801498413086,0.007080070212919232,,,
real_0,0.3585946559906006,0.007089187159061261,,,
real_0,0.35874295234680176,0.00709782299167705,,,
real_0,0.41709041595458984,0.010836959869858553,,,
real_0,0.41918516159057617,0.010983729722932378,,,
real_0,0.4194493293762207,0.01100229984524903,,,
real_0,0.41960954666137695,0.011013569245745702,,,
real_0,0.4197824001312256,0.011025733087380862,,,
real_0,0.4199223518371582,0.011035585888560684,,,
real_0,0.48163461685180664,0.015749646210669765,,,
real_0,0.48265981674194336,0.015834114030194413,,,
real_0,0.4829235076904297,0.015855872093801904,,,
real_0,0.4831502437591553,0.015874591398244542,,,
real_0,0.4833645820617676,0.01589229608513909,,,
real_0,0.48523616790771484,0.016047261118698808,,,
real_0,0.5336804389953613,0.020286680009594327,,,
real_0,0.534778356552124,0.02038780618105307,,,
real_0,0.5357375144958496,0.020476332903684558,,,
real_0,0.5359046459197998,0.020491775805849377,,,
real_0,0.5373640060424805,0.02062683825222733,,,
real_0,0.5376136302947998,0.02064997990307238,,,
real_0,0.599884033203125,0.026775831059867694,,,
real_0,0.6025786399841309,0.027056589069799686,,,
real_0,0.6028420925140381,0.02708410777457504,,,
real_0,0.6045763492584229,0.027265564115444674,,,
real_0,0.6048963069915771,0.027299099525174175,,,
real_0,0.6051120758056641,0.027321724888450416,,,
real_0,0.6612122058868408,0.033480101352477254,,,
real_0,0.6625339984893799,0.03363174999036356,,,
real_0,0.6632826328277588,0.033717772639966004,,,
real_0,0.6634104251861572,0.03373246630848903,,,
real_0,0.6635615825653076,0.03374985009957299,,,
real_0,0.6636583805084229,0.033760984351902446,,,
real_0,0.7169175148010254,0.04012669691959925,,,
real_0,0.7203922271728516,0.04055843033735007,,,
real_0,0.7207164764404297,0.04059881975936164,,,
real_0,0.7209076881408691,0.040622645746751784,,,
real_0,0.7210829257965088,0.04064448656539166,,,
real_0,0.7212579250335693,0.04066630270909177,,,
real_0,0.7586057186126709,0.045436571245488055,,,
real_0,0.7590458393096924,0.045494131893989875,,,
real_0,0.7592713832855225,0.04552364143980747,,,
real_0,0.7593941688537598,0.04553970979440469,,,
real_0,0.7833549976348877,0.048721420697137474,,,
real_0,0.7852485179901123,0.048976744175261655,,,
real_0,0.8336091041564941,0.05568754635963169,,,
real_0,0.8340063095092773,0.05574416071540711,,,
real_0,0.8352634906768799,0.05592350772860455,,,
real_0,0.8354668617248535,0.05595254292057372,,,
real_0,0.8366546630859375,0.05612225084823308,,,
real_0,0.8370037078857422,0.05617216177061235,,,
real_0,0.9011886119842529,0.06566132836380856,,,
real_0,0.902982234954834,0.06593525445663184,,,
real_0,0.903674840927124,0.06604115619182249,,,
real_0,0.9053041934967041,0.0662905648310852,,,
real_0,0.9055919647216797,0.0663346547306013,,,
real_0,0.9422121047973633,0.07204266252169267,,,
real_0,0.9424450397491455,0.07207958322805685,,,
real_0,0.9425435066223145,0.07209519275505372,,,
real_0,0.9433274269104004,0.07221951318096798,,,
real_0,0.9434688091278076,0.07224194397057226,,,
real_0,0.9435641765594482,0.07225707594796715,,,
real_0,0.9991312026977539,0.08128964119822135,,,
real_0,1.0000879764556885,0.08144888636301018,,,
real_0,1.0023269653320312,0.08182202786504622,,,
real_0,1.0026490688323975,0.08187576427113763,,,
real_0,1.002814531326294,0.08190337377419954,,,
real_0,1.0029728412628174,0.08192979324963101,,,
real_0,1.069028615951538,0.09324428687238207,,,
real_0,1.0724551677703857,0.0938467539613338,,,
real_0,1.0728123188018799,0.09390963596869295,,,
real_0,1.0730419158935547,0.09395006873931944,,,
real_0,1.073261022567749,0.0939886604060316,,,
real_0,1.1509294509887695,0.10804751377097666,,,
real_0,1.1973154544830322,0.11679203039087216,,,
real_0,1.1975455284118652,0.11683602889548639,,,
real_0,1.1976449489593506,0.1168550436058533,,,
real_0,1.1977393627166748,0.1168731017938357,,,
real_0,1.19783353805542,0.11689111540212194,,,
real_0,1.1985399723052979,0.11702627279623656,,,
real_0,1.1986768245697021,0.11705246247095646,,,
real_0,1.19877290725708,0.11707085128174,,,
real_0,1.1988670825958252,0.11708887608396779,,,
real_0,1.2680914402008057,0.1306082111769601,,,
real_0,1.2719500064849854,0.13137729287836486,,,
real_0,1.2722489833831787,0.13143695116239795,,,
real_0,1.2724292278289795,0.1314729220366243,,,
