type,time,x_c,x_c_dot,gamma,gamma_dot
real_0,0.0,0.0,,,
real_0,0.0004937648773193359,-0.10032901820560558,,,
real_0,0.0022399425506591797,-0.10007885614890383,,,
real_0,0.0025472640991210938,-0.09984956927451959,,,
real_0,0.002713441848754883,-0.09979671052153033,,,
real_0,0.0028755664825439453,-0.09976006282600686,,,
real_0,0.06528449058532715,-0.09281497884510528,,,
real_0,0.0676567554473877,-0.0856670084809109,,,
real_0,0.12712717056274414,-0.07892076721543914,,,
real_0,0.1277008056640625,-0.07240852903401736,,,
real_0,0.12803101539611816,-0.07231105044935143,,,
real_0,0.12836241722106934,-0.07223970467589588,,,
real_0,0.1300644874572754,-0.07202047095024015,,,
real_0,0.13037943840026855,-0.07180305860609852,,,
real_0,0.1305375099182129,-0.0717520824466307,,,
real_0,0.1306920051574707,-0.07171840007741695,,,
real_0,0.13087129592895508,-0.07168243276520996,,,
real_0,0.13187479972839355,-0.07155499597710664,,,
real_0,0.18545961380004883,-0.06570368591049028,,,
real_0,0.18572616577148438,-0.059961160630743714,,,
real_0,0.18582844734191895,-0.05992203017468182,,,
real_0,0.1859283447265625,-0.05990058146868285,,,
real_0,0.18688702583312988,-0.059788291674462105,,,
real_0,0.18704962730407715,-0.05966936428950859,,,
real_0,0.24890589714050293,-0.05313080281097517,,,
real_0,0.24987411499023438,-0.04654721386879279,,,
real_0,0.25043773651123047,-0.04638766653330839,,,
real_0,0.25281763076782227,-0.04608120344726077,,,
real_0,0.2540738582611084,-0.045702783944859084,,,
real_0,0.2551000118255615,-0.04546535864582367,,,
real_0,0.2935068607330322,-0.04137951134149728,,,
real_0,0.2938544750213623,-0.03737951857856862,,,
real_0,0.2950007915496826,-0.03722592555883744,,,
real_0,0.2952241897583008,-0.03708512708228689,,,
real_0,0.2953214645385742,-0.03705216856257061,,,
real_0,0.37114930152893066,-0.029306951860874144,,,
real_0,0.37198543548583984,-0.021545711411980393,,,
real_0,0.37373852729797363,-0.021285633269984065,,,
real_0,0.37400317192077637,-0.021083017188501398,,,
real_0,0.37421202659606934,-0.021035480197468166,,,
real_0,0.37439703941345215,-0.020995940462093993,,,
real_0,0.4256258010864258,-0.015861359508477963,,,
real_0,0.42697739601135254,-0.010638254500077757,,,
real_0,0.42717838287353516,-0.010484854182362951,,,
real_0,0.42731571197509766,-0.01045143318980182,,,
real_0,0.42744970321655273,-0.010424631741071378,,,
real_0,0.4275832176208496,-0.010398208206281977,,,
real_0,0.5004394054412842,-0.0032422952607981978,,,
real_0,0.5012538433074951,0.003925541511350128,,,
real_0,0.5016026496887207,0.004037851858815066,,,
real_0,0.5018694400787354,0.004097278380866749,,,
real_0,0.5020756721496582,0.004142937597443856,,,
real_0,0.5038237571716309,0.0043315372677647,,,
real_0,0.5506186485290527,0.008992269583204607,,,
real_0,0.5508835315704346,0.013487431955444468,,,
real_0,0.5509848594665527,0.013522238346631639,,,
real_0,0.5510890483856201,0.013541770646047167,,,
real_0,0.552128791809082,0.013650475505028133,,,
real_0,0.5522873401641846,0.013764330257144774,,,
real_0,0.6139776706695557,0.019601626520796424,,,
real_0,0.6150481700897217,0.025485168479729193,,,
real_0,0.6152987480163574,0.025608173962047242,,,
real_0,0.6174678802490234,0.025833387950636565,,,
real_0,0.6177628040313721,0.02606266196151795,,,
real_0,0.6179499626159668,0.02610750558370299,,,
real_0,0.6801025867462158,0.031867015520126545,,,
real_0,0.681302547454834,0.03767950114678285,,,
real_0,0.6838893890380859,0.03802441522999171,,,
real_0,0.6841764450073242,0.03828606095194602,,,
real_0,0.6843576431274414,0.038328677369090174,,,
real_0,0.7279748916625977,0.04229535847384968,,,
real_0,0.728229284286499,0.046249177654431685,,,
real_0,0.7290842533111572,0.04634865563327062,,,
real_0,0.7292418479919434,0.0464394406701541,,,
real_0,0.729356050491333,0.04646380653427812,,,
real_0,0.7296278476715088,0.046498408220047666,,,
real_0,0.8041024208068848,0.053142372477477696,,,
real_0,0.8078269958496094,0.060031358069605086,,,
real_0,0.8098690509796143,0.06053470515970243,,,
real_0,0.8110463619232178,0.0608154858597713,,,
real_0,0.8131225109100342,0.0610990663433481,,,
real_0,0.8156988620758057,0.061504317470287416,,,
real_0,0.857975959777832,0.06539000151873389,,,
real_0,0.9001932144165039,0.07263560844859569,,,
real_0,0.9009978771209717,0.07628783888827807,,,
real_0,0.9011697769165039,0.0763703161475605,,,
real_0,0.901322603225708,0.07639773774850588,,,
real_0,0.9025976657867432,0.07651829324898536,,,
real_0,0.9027917385101318,0.07664230711950311,,,
real_0,0.9029195308685303,0.07666947147916106,,,
real_0,0.9030373096466064,0.07669019579045773,,,
real_0,0.9031553268432617,0.07671009428905573,,,
real_0,0.9039154052734375,0.07678418675425905,,,
real_0,0.9041099548339844,0.0768647265851461,,,
real_0,0.9042267799377441,0.07689099320535447,,,
real_0,0.9634532928466797,0.08186138485798862,,,
real_0,0.9640278816223145,0.0868339811874116,,,
real_0,0.965761661529541,0.08702449472328755,,,
real_0,0.9660284519195557,0.08718955318701394,,,
real_0,0.9664180278778076,0.0872436913342385,,,
real_0,1.0303032398223877,0.09250334231707875,,,
real_0,1.0316119194030762,0.09779508450746856,,,
real_0,1.0338940620422363,0.09808410548372937,,,
real_0,1.0342373847961426,0.09829532187893367,,,
real_0,1.0344364643096924,0.09833894221652906,,,
real_0,1.034630537033081,0.09837055685106001,,,
real_0,1.0804152488708496,0.10204644622675081,,,
real_0,1.144251823425293,0.11068899140116241,,,
real_0,1.1448330879211426,0.11569610231234424,,,
real_0,1.1450066566467285,0.11575428277093713,,,
real_0,1.145165205001831,0.11577987837838447,,,
real_0,1.145322561264038,0.11580422296390294,,,
real_0,1.146702527999878,0.11592266752976677,,,
real_0,1.146918535232544,0.11604560269694313,,,
real_0,1.147078514099121,0.11607455761019549,,,
real_0,1.147233486175537,0.11609881048307916,,,
real_0,1.1473884582519531,0.11612267633817212,,,
real_0,1.1483430862426758,0.11620810194828489,,,
real_0,1.1945090293884277,0.1198133428200679,,,
real_0,1.1949772834777832,0.12335898952762156,,,
real_0,1.195197343826294,0.12341099754828487,,,
real_0,1.1953508853912354,0.12343922318432983,,,
real_0,1.1964635848999023,0.1235348687560487,,,
real_0,1.1966478824615479,0.12363281850993722,,,
real_0,1.3159980773925781,0.13251467240403259,,,
real_0,1.3174495697021484,0.14134328867009802,,,
real_0,1.3179922103881836,0.14148658666410024,,,
real_0,1.3201730251312256,0.14168217895192642,,,
real_0,1.3205313682556152,0.14186445649729001,,,
real_0,1.3207974433898926,0.14190926370454,,,
real_0,1.3209662437438965,0.14194046616142203,,,
real_0,1.3211288452148438,0.14196424235296545,,,
real_0,1.322263240814209,0.1420572753244022,,,
real_0,1.3224914073944092,0.14215499029170392,,,
real_0,1.3226568698883057,0.14218321299395606,,,
real_0,1.322822093963623,0.14220692093534837,,,
real_0,1.3808703422546387,0.14634615140076748,,,
real_0,1.383474588394165,0.1506216060465621,,,
real_0,1.383803367614746,0.1508265541281348,,,
real_0,1.3839898109436035,0.15086253961056795,,,
real_0,1.384181261062622,0.15088893071160295,,,
real_0,1.4461779594421387,0.15519287101277507,,,
real_0,1.4482643604278564,0.15958641869265663,,,
real_0,1.4485175609588623,0.15974530415007013,,,
real_0,1.44868803024292,0.15977406540708095,,,
real_0,1.448854684829712,0.15979694939781053,,,
real_0,1.4490125179290771,0.15981897402312423,,,
real_0,1.5112404823303223,0.1640140592329712,,,
real_0,1.5126664638519287,0.16825345628812338,,,
real_0,1.5127954483032227,0.16835601787365173,,,
real_0,1.5129077434539795,0.16837192800280593,,,
real_0,1.5130186080932617,0.1683866425083139,,,
real_0,1.5140364170074463,0.16846104982242724,,,
real_0,1.5673551559448242,0.17201332695177624,,,
real_0,1.5680701732635498,0.17551580977590586,,,
real_0,1.5681962966918945,0.17556987331736928,,,
real_0,1.5683081150054932,0.17558516451526981,,,
real_0,1.569321632385254,0.17565746940529173,,,
real_0,1.5694639682769775,0.1757317203291266,,,
real_0,1.6276750564575195,0.17944535226118555,,,
real_0,1.628568172454834,0.18317144938376154,,,
real_0,1.6287736892700195,0.18324005318856354,,,
real_0,1.6302902698516846,0.1833475436378131,,,
real_0,1.6305270195007324,0.1834569489518307,,,
real_0,1.6307003498077393,0.18348252938972578,,,
real_0,1.69138765335083,0.18724146369825018,,,
real_0,1.6921842098236084,0.19100065900448615,,,
real_0,1.694516658782959,0.1911899562847502,,,
real_0,1.694835901260376,0.19135028500601306,,,
real_0,1.6950151920318604,0.19138041349473728,,,
real_0,1.7638511657714844,0.19550304210566696,,,
real_0,1.8258609771728516,0.20314622106128194,,,
real_0,1.828737497329712,0.2068489633533479,,,
real_0,1.8290481567382812,0.20702874434103008,,,
real_0,1.8292434215545654,0.20705726502849284,,,
real_0,1.8294312953948975,0.2070788611906999,,,
real_0,1.8296160697937012,0.20709986391101753,,,
real_0,1.8307232856750488,0.2071726621221821,,,
real_0,1.8309783935546875,0.20724940207323372,,,
real_0,1.8311593532562256,0.207273959054284,,,
real_0,1.8313319683074951,0.20729386831234334,,,
real_0,1.8315036296844482,0.20731325217234875,,,
real_0,1.8324534893035889,0.20737638274099243,,,
real_0,1.8854804039001465,0.21038526675854563,,,
real_0,1.8857862949371338,0.21332905691838225,,,
real_0,1.8859102725982666,0.21335255246757207,,,
real_0,1.8860297203063965,0.2133658561421495,,,
real_0,1.8870716094970703,0.2134293104281907,,,
real_0,1.8872349262237549,0.2134951455734439,,,
real_0,1.9274687767028809,0.21568498427867663,,,
real_0,1.9277269840240479,0.2178633647215392,,,
real_0,1.9278266429901123,0.21788247061434365,,,
real_0,1.9286868572235107,0.21793370487430044,,,
real_0,1.928842306137085,0.21798790555855865,,,
real_0,1.9842705726623535,0.22092248050749436,,,
real_0,1.9851741790771484,0.22386446414957079,,,
real_0,1.985351800918579,0.22392031609724533,,,
real_0,1.986781358718872,0.22400329590448814,,,
real_0,1.9869942665100098,0.22408806740161352,,,
real_0,1.9871485233306885,0.22410701097430405,,,
real_0,2.0465896129608154,0.2271458407902008,,,
real_0,2.047206401824951,0.23017178622881188,,,
real_0,2.0491418838500977,0.2302987837083452,,,
real_0,2.049516201019287,0.23041364795826436,,,
real_0,2.0501797199249268,0.2304652274983319,,,
real_0,2.050694465637207,0.23052376776473402,,,
real_0,2.1271908283233643,0.234289619981075,,,
real_0,2.1305043697357178,0.23812768193532782,,,
real_0,2.130793571472168,0.2382980277354891,,,
real_0,2.1309702396392822,0.23832003735558868,,,
real_0,2.1311419010162354,0.23833649164379395,,,
real_0,2.1313376426696777,0.23835384490376227,,,
real_0,2.1733198165893555,0.24032798746550132,,,
real_0,2.173687696456909,0.24229201572230152,,,
real_0,2.1737842559814453,0.2423133557739978,,,
real_0,2.173874855041504,0.24232195428462308,,,
real_0,2.173964738845825,0.24233024559213487,,,
real_0,2.174744129180908,0.24237017127307478,,,
real_0,2.2334938049316406,0.24506854358317948,,,
real_0,2.2352993488311768,0.24777597317890354,,,
real_0,2.23549485206604,0.24786421420640403,,,
real_0,2.2356650829315186,0.24788033413010746,,,
real_0,2.237269401550293,0.24795851307985953,,,
real_0,2.237543821334839,0.24804124331939642,,,
real_0,2.2883899211883545,0.25026515302359836,,,
real_0,2.3416879177093506,0.25468609197829245,,,
real_0,2.342371940612793,0.2569205710112058,,,
real_0,2.3444581031799316,0.2570336709761992,,,
real_0,2.344724416732788,0.2571296448404121,,,
real_0,2.3449015617370605,0.25714772528577673,,,
real_0,2.34507155418396,0.25716187643392735,,,
real_0,2.345240354537964,0.2571756856464702,,,
real_0,2.3463022708892822,0.2572258323416692,,,
real_0,2.346604347229004,0.2572813884056693,,,
real_0,2.346921920776367,0.2573066165287246,,,
real_0,2.3470945358276367,0.25732656991082237,,,
real_0,2.4154396057128906,0.2600680529852674,,,
real_0,2.4180209636688232,0.2628550565807539,,,
real_0,2.4183645248413086,0.26296788689891737,,,
real_0,2.4596848487854004,0.2645565026211262,,,
real_0,2.4599432945251465,0.2661242940619062,,,
real_0,2.460043430328369,0.26613766420798907,,,
real_0,2.460871934890747,0.2661722785680682,,,
real_0,2.4610228538513184,0.2662087751678993,,,
real_0,2.461116075515747,0.26621787002383995,,,
real_0,2.4612064361572266,0.266224708310439,,,
real_0,2.461296319961548,0.2662314217672276,,,
real_0,2.524796485900879,0.2685590836992432,,,
real_0,2.5258779525756836,0.270880920936705,,,
real_0,2.5261361598968506,0.2709282088398311,,,
real_0,2.526343822479248,0.2709446458777372,,,
real_0,2.526548147201538,0.2709591790195337,,,
real_0,2.52827525138855,0.27102726986764814,,,
real_0,2.5991575717926025,0.2735337332045576,,,
real_0,2.6010189056396484,0.27599019710359485,,,
real_0,2.6014351844787598,0.27606542883062135,,,
real_0,2.6016340255737305,0.2760857314681545,,,
real_0,2.6033427715301514,0.276148648545922,,,
real_0,2.6037909984588623,0.27621973975725034,,,
real_0,2.642141580581665,0.2774826514894003,,,
real_0,2.642430305480957,0.27872513991362985,,,
real_0,2.6425302028656006,0.2787374846530558,,,
real_0,2.6433897018432617,0.27876794817676603,,,
real_0,2.643526315689087,0.2787995665406493,,,
real_0,2.643622398376465,0.2788069501736435,,,
real_0,2.699993848800659,0.2805664720001996,,,
real_0,2.700650215148926,0.28231059890834137,,,
real_0,2.702637195587158,0.2823898692579347,,,
real_0,2.7029459476470947,0.28245864678300114,,,
real_0,2.703152894973755,0.2824740835322252,,,
real_0,2.7033629417419434,0.28248656262240873,,,
real_0,2.763762950897217,0.28426322293240575,,,
real_0,2.765503168106079,0.28604566328431547,,,
real_0,2.765726327896118,0.2861007462774551,,,
real_0,2.766098976135254,0.2861174477726967,,,
real_0,2.766822576522827,0.2861481628667631,,,
real_0,2.767481803894043,0.28618688295859757,,,
real_0,2.826056718826294,0.28780966090587584,,,
real_0,2.8270606994628906,0.28940568957571805,,,
real_0,2.8272817134857178,0.28943776656389275,,,
real_0,2.827465057373047,0.2894483490986931,,,
real_0,2.8276467323303223,0.2894578999253063,,,
real_0,2.880192995071411,0.29080940602538063,,,
real_0,2.880441665649414,0.2921344227385676,,,
real_0,2.880537986755371,0.29214289711931224,,,
real_0,2.880690097808838,0.29214899836481784,,,
real_0,2.8807830810546875,0.29215501679394107,,,
real_0,2.881603956222534,0.292177447273063,,,
real_0,3.0117554664611816,0.2952190215197665,,,
real_0,3.012544631958008,0.2980858685877146,,,
real_0,3.0128018856048584,0.2981074085820335,,,
real_0,3.013025999069214,0.29811731556980336,,,
real_0,3.014719247817993,0.2981567650689368,,,
real_0,3.014997959136963,0.2981973258468543,,,
real_0,3.0152201652526855,0.2982076260357667,,,
real_0,3.0154385566711426,0.2982166850053315,,,
real_0,3.015655517578125,0.2982256353318507,,,
real_0,3.0171215534210205,0.2982602268302924,,,
real_0,3.0173263549804688,0.2982945596228426,,,
real_0,3.0174548625946045,0.29830140687338663,,,
real_0,3.0175790786743164,0.2983065983146472,,,
real_0,3.0980939865112305,0.29994493749795104,,,
real_0,3.1015660762786865,0.30163161235255925,,,
real_0,3.103630781173706,0.30174147790993133,,,
real_0,3.1058385372161865,0.3018261633425414,,,
real_0,3.1082611083984375,0.3019178557506546,,,
real_0,3.1553597450256348,0.30289136573732794,,,
real_0,3.1565582752227783,0.3038339877031671,,,
real_0,3.1567301750183105,0.303860549486582,,,
real_0,3.1568517684936523,0.3038662367774283,,,
real_0,3.156973361968994,0.3038709489537366,,,
real_0,3.1570961475372314,0.3038756839795382,,,
real_0,3.201544761657715,0.3047337378206146,,,
real_0,3.201807975769043,0.3055889096403785,,,
real_0,3.2019145488739014,0.30559593612449015,,,
real_0,3.2020111083984375,0.30559979566936324,,,
real_0,3.202106237411499,0.3056034376158526,,,
