Timestamp,Theta_rad,Gamma_rad,Phi_rad,Gamma_deg
1775768567.8466501,0.08324626088142395,-0.0931299552321434,-3.8773841857910156,-5.335955288989842,-222.15782883224486
1775768567.8908253,0.08324626088142395,-0.0931299552321434,-3.8773841857910156,-5.335955288989842,-222.15782883224486
1775768567.8916512,0.08324626088142395,-0.0931299552321434,-3.8773841857910156,-5.335955288989842,-222.15782883224486
1775768567.8922973,0.08324626088142395,-0.0931299552321434,-3.8773841857910156,-5.335955288989842,-222.15782883224486
1775768567.8930213,0.08324626088142395,-0.0931299552321434,-3.8773841857910156,-5.335955288989842,-222.15782883224486
1775768567.9127698,0.08324626088142395,-0.0931299552321434,-3.8773841857910156,-5.335955288989842,-222.15782883224486
1775768567.9129932,0.08324626088142395,-0.0931299552321434,-3.8773841857910156,-5.335955288989842,-222.15782883224486
1775768567.9130962,0.08324626088142395,-0.0931299552321434,-3.8773841857910156,-5.335955288989842,-222.15782883224486
1775768567.9131918,0.08324626088142395,-0.0931299552321434,-3.8773841857910156,-5.335955288989842,-222.15782883224486
1775768567.955229,0.08324626088142395,-0.0931299552321434,-3.8773841857910156,-5.335955288989842,-222.15782883224486
1775768567.95611,0.08324626088142395,-0.0931299552321434,-3.8773841857910156,-5.335955288989842,-222.15782883224486
1775768567.9562504,0.08324626088142395,-0.0931299552321434,-3.8773841857910156,-5.335955288989842,-222.15782883224486
1775768567.9563804,0.08324626088142395,-0.0931299552321434,-3.8773841857910156,-5.335955288989842,-222.15782883224486
1775768567.9991992,0.08324626088142395,-0.0931299552321434,-3.8773841857910156,-5.335955288989842,-222.15782883224486
1775768567.9995906,0.08324626088142395,-0.0931299552321434,-3.8773841857910156,-5.335955288989842,-222.15782883224486
1775768568.0005007,0.08324626088142395,-0.0931299552321434,-3.8773841857910156,-5.335955288989842,-222.15782883224486
1775768568.0366528,0.08324626088142395,-0.0931299552321434,-3.8773841857910156,-5.335955288989842,-222.15782883224486
1775768568.0368075,0.08324626088142395,-0.0931299552321434,-3.8773841857910156,-5.335955288989842,-222.15782883224486
1775768568.0369039,0.08324626088142395,-0.0931299552321434,-3.8764255046844482,-5.335955288989842,-222.10290043129922
1775768568.0371244,0.08324626088142395,-0.0931299552321434,-3.8764255046844482,-5.335955288989842,-222.10290043129922
1775768568.0379093,0.08323773741722107,-0.09295723587274551,-3.8762528896331787,-5.326059195117653,-222.09301031384467
1775768568.079614,0.08331899344921112,-0.09277674555778503,-3.876072406768799,-5.31571785812974,-222.08266940374375
1775768568.079826,0.08331046998500824,-0.09260402619838715,-3.87589955329895,-5.3058217642575505,-222.072765625906
1775768568.0799906,0.08329352736473083,-0.09234873950481415,-3.8756444454193115,-5.29119490891993,-222.05814901585578
1775768568.080133,0.0832848995923996,-0.09208587557077408,-3.8753814697265625,-5.276133909527958,-222.0430816131592
1775768568.1226337,0.08326797187328339,-0.09183057397603989,-3.8751261234283447,-5.261506200416386,-222.02845134272576
1775768568.122803,0.08325094729661942,-0.09148513525724411,-3.875739336013794,-5.241714012672007,-222.06358584837915
1775768568.1229007,0.08332362771034241,-0.09113197028636932,-3.8753862380981445,-5.2214791431337595,-222.04335482082368
1775768568.1229944,0.08329825848340988,-0.09070395678281784,-3.8749582767486572,-5.196955767036974,-222.0188344329357
