case,end_time_s,peak_theta_deg,peak_r_m,peak_gamma_deg,final_theta_deg,final_r_m,final_gamma_deg,final_chi_deg,final_speed_mps
1,60,1.23697235024893,0.0184686965772288,22.9343779907608,0.00015376750947473,2.30607578234586e-06,-1.07805016054962e-12,-0.00917483346869907,0.199999999999958
2,60,0.029048165342717,0.000429447969609281,8.24847927805755e-06,1.01080587473007e-10,1.51592163798738e-12,4.58937721904633e-12,-6.03116717712962e-09,0.199999999999975
3,60,0.772242593517617,0.0114632654233374,0.00640479367732079,0.0100053305956542,0.000150051534906649,4.47906312083831e-12,-0.596987604935268,0.199999999999974
4,3.86764946858237,80,1.21155282151131,4.25106112757248,80,1.21155282151131,4.25106112757248,-21.0833549813817,0.212027507521138
5,60,0,0,22.9343780577183,0,0,-2.49646380260551e-12,0,0.199999999999996
6,3.99756498125781,80,1.21155605710924,4.25387148104381,80,1.21155605710924,4.25387148104381,-21.7014746662764,0.212162622871336
