Timestamp,Theta_rad,Gamma_rad,Phi_rad,Dgamma_radps,Dphi_radps,Gamma_deg,Phi_deg
1777336946.069758,0.08924656361341476,-0.06419792026281357,-10.57324504852295,0.0024738949723541737,0.0024738949723541737,-3.6782711997941138,-605.8025336511612
1777336946.07055,0.08924656361341476,-0.06419792026281357,-10.57324504852295,0.0011882418766617775,0.0011882418766617775,-3.6782711997941138,-605.8025336511612
1777336946.0706,0.08924656361341476,-0.06419792026281357,-10.57324504852295,-0.0010845685610547662,-0.0010845685610547662,-3.6782711997941138,-605.8025336511612
1777336946.070644,0.08924656361341476,-0.06419792026281357,-10.57324504852295,0.0004021688364446163,0.0004021688364446163,-3.6782711997941138,-605.8025336511612
1777336946.0706859,0.08924656361341476,-0.06419792026281357,-10.57324504852295,0.0012919151922687888,0.0012919151922687888,-3.6782711997941138,-605.8025336511612
1777336946.081722,0.08924656361341476,-0.06419792026281357,-10.57324504852295,-0.0010908307740464807,-0.0010908307740464807,-3.6782711997941138,-605.8025336511612
1777336946.161424,0.08924656361341476,-0.06419792026281357,-10.57324504852295,0.0022853349801152945,0.0022853349801152945,-3.6782711997941138,-605.8025336511612
1777336946.1615,0.08924656361341476,-0.06419792026281357,-10.57324504852295,9.11489114514552e-05,9.11489114514552e-05,-3.6782711997941138,-605.8025336511612
1777336946.161549,0.08924656361341476,-0.06419792026281357,-10.57324504852295,-0.000292233336949721,-0.000292233336949721,-3.6782711997941138,-605.8025336511612
1777336946.161592,0.08924656361341476,-0.06419792026281357,-10.57324504852295,-0.001194504089653492,-0.001194504089653492,-3.6782711997941138,-605.8025336511612
1777336946.162337,0.08924656361341476,-0.06419792026281357,-10.57324504852295,8.488672028761357e-05,8.488672028761357e-05,-3.6782711997941138,-605.8025336511612
1777336946.162391,0.08924656361341476,-0.06419792026281357,-10.57324504852295,-0.0014867373974993825,-0.0014867373974993825,-3.6782711997941138,-605.8025336511612
1777336946.162434,0.08924656361341476,-0.06419792026281357,-10.57324504852295,-0.002175399335101247,-0.002175399335101247,-3.6782711997941138,-605.8025336511612
1777336946.162475,0.08924656361341476,-0.06419792026281357,-10.57324504852295,-0.0012981774052605033,-0.0012981774052605033,-3.6782711997941138,-605.8025336511612
1777336946.1625159,0.08924656361341476,-0.06419792026281357,-10.57324504852295,0.0010845685610547662,0.0010845685610547662,-3.6782711997941138,-605.8025336511612
1777336946.2196019,0.08924656361341476,-0.06419792026281357,-10.57324504852295,0.0032787546515464783,0.0032787546515464783,-3.6782711997941138,-605.8025336511612
1777336946.2197099,0.08924656361341476,-0.06419792026281357,-10.57324504852295,-0.0016752975061535835,-0.0016752975061535835,-3.6782711997941138,-605.8025336511612
1777336946.219758,0.08924656361341476,-0.06419792026281357,-10.57324504852295,-9.741110989125445e-05,-9.741110989125445e-05,-3.6782711997941138,-605.8025336511612
1777336946.2198038,0.08924656361341476,-0.06419792026281357,-10.57324504852295,-0.0001822978229029104,-0.0001822978229029104,-3.6782711997941138,-605.8025336511612
