Timestamp,Theta_rad,Gamma_rad,Phi_rad,Dgamma_radps,Dphi_radps

"--- SEND COMMAND: Mode=balance, Value=0.0 ---"
20.012832641601562,-0.08362571895122528,-0.027519702911376953,-5.5470404624938965,0.005046463571488857,0.0030097858980298042
20.052837371826172,-0.0836227685213089,-0.02734231948852539,-5.546893119812012,0.0038221890572458506,-0.0008792669977992773
20.092872619628906,-0.08353269845247269,-0.027256011962890625,-5.546746730804443,0.003088700585067272,0.007082869298756123
20.132856369018555,-0.08344831317663193,-0.027251720428466797,-5.546760559082031,0.0041334000416100025,0.002805606694892049
20.172863006591797,-0.08344831317663193,-0.027251720428466797,-5.546778202056885,-0.00854188110679388,-0.0071527366526424885
20.212871551513672,-0.0835312232375145,-0.027167320251464844,-5.546735763549805,0.0007358039147220552,-0.007970623672008514
20.25290870666504,-0.08353675156831741,-0.027342796325683594,-5.546845436096191,-0.0028457134030759335,0.0031726709567010403
20.292892456054688,-0.08353675156831741,-0.027342796325683594,-5.546851634979248,-0.003581531345844269,-0.0008943676948547363
20.332895278930664,-0.08354228734970093,-0.027518272399902344,-5.547057151794434,-0.008786812424659729,-0.012847501784563065
20.372934341430664,-0.08354781568050385,-0.027694225311279297,-5.547262668609619,-0.004555817693471909,-0.007858124561607838
20.412939071655273,-0.08355335891246796,-0.027869701385498047,-5.547396183013916,-0.006826821248978376,-0.004808800294995308
20.452922821044922,-0.08356032520532608,-0.02813434600830078,-5.547715187072754,-0.009842783212661743,-0.014532547444105148
20.492923736572266,-0.0835658386349678,-0.02830982208251953,-5.547842502593994,-0.0030862714629620314,-0.00041439104825258255
20.532960891723633,-0.08366554975509644,-0.028658390045166016,-5.548221111297607,-0.008062779903411865,-0.008756943978369236
20.572965621948242,-0.08375543355941772,-0.028838634490966797,-5.548395156860352,-0.009845211170613766,-0.004442260134965181
20.61294937133789,-0.08376095443964005,-0.029014110565185547,-5.5485405921936035,-0.006744468584656715,-0.0006900681182742119
20.652963638305664,-0.08376648277044296,-0.0291900634765625,-5.548764705657959,-0.0087890625,-0.009479419328272343
20.692964553833008,-0.0836031436920166,-0.02945089340209961,-5.549031734466553,-0.010826395824551582,-0.015528379008173943
20.732999801635742,-0.08360868692398071,-0.029626846313476562,-5.549195289611816,0.0011425948468968272,-0.0035608368925750256
20.773006439208984,-0.08361420780420303,-0.029802322387695312,-5.549383163452148,-0.0038268796633929014,-0.007173105143010616
20.812986373901367,-0.08361420780420303,-0.029802322387695312,-5.5493950843811035,-0.002850317396223545,-0.005564987659454346
20.85299301147461,-0.08361838757991791,-0.02988910675048828,-5.549439907073975,8.425892156083137e-05,-0.00463583879172802
20.89300537109375,-0.08362393081188202,-0.030065059661865234,-5.549615859985352,-0.002934608608484268,-0.0009583581704646349
20.933040618896484,-0.08362393081188202,-0.030065059661865234,-5.549633502960205,-0.004877891391515732,-0.00284800142981112
20.97304344177246,-0.08362393081188202,-0.030065059661865234,-5.549639701843262,-0.0016307744663208723,-0.0023232516832649708
21.013051986694336,-0.08362393081188202,-0.030065059661865234,-5.54962158203125,0.002838027197867632,0.0015100118471309543
21.05303382873535,-0.08362393081188202,-0.030065059661865234,-5.549657821655273,-0.0046225949190557,-0.005315111018717289
21.093067169189453,-0.0836281105875969,-0.030152320861816406,-5.549720764160156,-0.0017101274570450187,-0.0017101274570450187
21.133054733276367,-0.08363229036331177,-0.030239105224609375,-5.549789905548096,-0.002770986407995224,-0.000789242098107934
21.173059463500977,-0.08363229036331177,-0.030239105224609375,-5.549843788146973,0.00024052688968367875,-0.00515636894851923
21.213096618652344,-0.08363229036331177,-0.030239105224609375,-5.549789905548096,-0.0008897866355255246,0.002465877216309309
21.25307846069336,-0.08363649994134903,-0.030325889587402344,-5.549834728240967,-0.002850340213626623,0.005808319430798292
21.2930850982666,-0.0836351290345192,-0.030237197875976562,-5.549776077270508,0.00104849087074399,0.003019277472048998
21.333091735839844,-0.08363649994134903,-0.030325889587402344,-5.549888610839844,-0.002927205292508006,-0.004262472037225962
21.37310028076172,-0.08363649994134903,-0.030325889587402344,-5.549888610839844,0.0028453757986426353,0.005516732111573219
21.413105010986328,-0.0836407020688057,-0.030413150787353516,-5.549981594085693,-0.0027685100212693214,-0.00340949185192585
21.453142166137695,-0.0836407020688057,-0.030413150787353516,-5.549999713897705,0.0025259596295654774,0.0011903562117367983
21.493152618408203,-0.08372361212968826,-0.030328750610351562,-5.549903392791748,-0.001868724706582725,-0.0032003000378608704
21.53313636779785,-0.0836407020688057,-0.030413150787353516,-5.54996395111084,0.002034958451986313,0.0040002018213272095
21.573143005371094,-0.08372782915830612,-0.030416011810302734,-5.549924850463867,-0.003581065684556961,0.006491449661552906
21.613149642944336,-0.08364490419626236,-0.030499935150146484,-5.5500264167785645,0.000964078470133245,0.005666061770170927
